,student,position,name
247,Ana Claudia Mancusi Valeije,comitee, Richard Charles Garratt
248,Ana Claudia Mancusi Valeije,comitee, Otavio Henrique Thiemann
249,Caio César de Melo Freire,president, Paolo Marinho de Andrade  Zanotto
250,Caio César de Melo Freire,comitee, Paulo Eduardo Brandão
251,Caio César de Melo Freire,comitee, Sergio Russo Matioli
252,Caio César de Melo Freire,comitee, Fábio Nakano
253,Caio César de Melo Freire,comitee, Robson Francisco de Souza
254,Karla Ferraz Néto,president, Evandro Eduardo Seron  Ruiz
255,Karla Ferraz Néto,comitee, Helena Paula Brentani
256,Karla Ferraz Néto,comitee, Alexandre Souto Martinez
257,Mariana Yuri Sasazaki,president, Joaquim Cezar  Felipe
258,Mariana Yuri Sasazaki,comitee, Fabricio Martins Lopes
259,Mariana Yuri Sasazaki,comitee, Wilson Araújo da Silva Junior
260,Fabio Albuquerque Marchi,na, transcriptômicos e epigenéticos de câncer de pênis Metodologia para integração de dados genômicos
261,José Eduardo Kroll,president, Sandro José de  Souza
262,José Eduardo Kroll,comitee, Helena Paula Brentani
263,José Eduardo Kroll,comitee, Ariane Machado Lima
264,José Eduardo Kroll,comitee, Bettina Malnic
265,José Eduardo Kroll,comitee, Georgios Joannis Pappas Junior
266,José Osório de Oliveira Azevedo Neto,president, Sergio Russo  Matioli
267,José Osório de Oliveira Azevedo Neto,comitee, Helena Paula Brentani
268,José Osório de Oliveira Azevedo Neto,comitee, Elida Paula Benquique Ojopi
269,José Osório de Oliveira Azevedo Neto,comitee, Paulo Alberto Otto
270,José Osório de Oliveira Azevedo Neto,comitee, Carlos Alberto de Braganca Pereira
271,Danillo Cunha de Almeida e Silva,president, Ricardo Zorzetto Nicoliello  Vencio
272,Danillo Cunha de Almeida e Silva,comitee, João Carlos Setubal
273,Danillo Cunha de Almeida e Silva,comitee, Thiago Motta Venancio
274,Marcio Branquinho Dutra,president, Alessandra Alaniz  Macedo
275,Marcio Branquinho Dutra,comitee, Elza Helena Andrade Barbosa Durham
276,Marcio Branquinho Dutra,comitee, Nina Sumiko Tomita Hirata
277,Oscar Picchi Netto,president, José Augusto  Baranauskas
278,Oscar Picchi Netto,comitee, Joaquim Cezar Felipe
279,Oscar Picchi Netto,comitee, Wilson Araújo da Silva Junior
280,Erica Akemi Tanaka,na,Uma adaptação do método Binary Relevance utilizando árvores de decisão para problemas de classificação multirrótulo aplicado à genômica funcional
281,Thais Mayumi Oshiro,na,Uma abordagem para a construção de uma única árvore a partir de uma Random Forest para classificação de bases de expressão gênica
282,Fernando Domingues Kümmel Tria,president, Aline Maria da  Silva
283,Fernando Domingues Kümmel Tria,comitee, Jose Miguel Ortega
284,Fernando Domingues Kümmel Tria,comitee, João Carlos Setubal
285,Newton Shydeo Brandão Miyoshi,president, Paulo Mazzoncini de Azevedo  Marques
286,Newton Shydeo Brandão Miyoshi,comitee, Silvana Giuliatti
287,Newton Shydeo Brandão Miyoshi,comitee, Domingos Alves
288,Newton Shydeo Brandão Miyoshi,comitee, Marcos Aurelio Martins Ribeiro
289,Newton Shydeo Brandão Miyoshi,comitee, Juliana Pereira de Souza Zinader
290,Melline Fontes Noronha,president, Ronaldo Fumio  Hashimoto
291,Melline Fontes Noronha,comitee, Marcos Silveira Buckeridge
292,Melline Fontes Noronha,comitee, Luiz Carlos da Silva Rozante
293,Luís Henrique Uchida Ishivatari,na,Função de avaliação dinâmica em algoritmos genéticos aplicados na predição de estruturas tridimensionais de proteínas
294,Helder Ken Shimo,president, Renato  Tinós
295,Helder Ken Shimo,comitee, Paulo Sérgio Lopes de Oliveira
296,Helder Ken Shimo,comitee, Fernando José von Zuben
297,Fernanda Nascimento Almeida,president, Ester Cerdeira  Sabino
298,Fernanda Nascimento Almeida,comitee, Luciano Vieira de Araújo
299,Fernanda Nascimento Almeida,comitee, Luciano Antonio Digiampietri
300,Fernanda Nascimento Almeida,comitee, Sandra Fatima Menosi Gualandro
301,Fernanda Nascimento Almeida,comitee, Anna Bárbara de Freitas Carneiro Proietti
302,Pedro Santoro Perez,president, José Augusto  Baranauskas
303,Pedro Santoro Perez,comitee, Fabricio Martins Lopes
304,Pedro Santoro Perez,comitee, Renato Tinós
305,Alexandre Rossi Paschoal,president, Alan Mitchell  Durham
306,Alexandre Rossi Paschoal,comitee, Ivan Gesteira Costa Filho
307,Alexandre Rossi Paschoal,comitee, André Fujita
308,Alexandre Rossi Paschoal,comitee, Tiago Campos Pereira
309,Alexandre Rossi Paschoal,comitee, Claudia Barros Monteiro Vitorello
310,Bruna Renata Silva Corrêa,na,Análise computacional do genoma e transcritoma de Plasmodium vivax: contribuições da bioinformática para o estudo da malária
311,Flavia Akemi Miyazaki,president, Clever Ricardo Guareis de  Farias
312,Flavia Akemi Miyazaki,comitee, Angela Kaysel Cruz
313,Flavia Akemi Miyazaki,comitee, Agma Juci Machado Traina
314,Juliana Tarossi Pollettini,president, Antonio  Pazin Filho
315,Juliana Tarossi Pollettini,comitee, Jorge Elias Júnior
316,Juliana Tarossi Pollettini,comitee, Zhao Liang
317,Juliana Tarossi Pollettini,comitee, Paulo Mazzoncini de Azevedo Marques
318,Juliana Tarossi Pollettini,comitee, Augusto Scalabrini Neto
319,Gisele Helena Barboni Miranda,na,Spatially explicit modeling on networks: understanding patterns & describing processes
320,Vitor Hugo Louzada Patricio,president, Ronaldo Fumio  Hashimoto
321,Vitor Hugo Louzada Patricio,comitee, Tie Koide
322,Vitor Hugo Louzada Patricio,comitee, Ney Lemke
323,Artur Trancoso Lopo de Queiróz,president, Sergio Russo  Matioli
324,Artur Trancoso Lopo de Queiróz,comitee, Luciano Vieira de Araújo
325,Artur Trancoso Lopo de Queiróz,comitee, Flora Maria de Campos Fernandes
326,Artur Trancoso Lopo de Queiróz,comitee, Marcelo de Souza Lauretto
327,Artur Trancoso Lopo de Queiróz,comitee, Camila Malta Romano
328,Carlos Stein Naves de Brito,president, Koichi  Sameshima
329,Carlos Stein Naves de Brito,comitee, Edson Amaro Júnior
330,Carlos Stein Naves de Brito,comitee, Ricardo Zorzetto Nicoliello Vencio
331,Marcio Augusto Afonso de Almeida,president, Paulo Sérgio Lopes de  Oliveira
332,Marcio Augusto Afonso de Almeida,comitee, Emmanuel Dias Neto
333,Marcio Augusto Afonso de Almeida,comitee, Pedro Edson Moreira Guimarães
334,Marcio Augusto Afonso de Almeida,comitee, Eduardo Jordao Neves
335,Marcio Augusto Afonso de Almeida,comitee, Julia Maria Pavan Soler
336,Mauricio Egidio Cantão,president, João Eduardo  Ferreira
337,Mauricio Egidio Cantão,comitee, Helaine Carrer
338,Mauricio Egidio Cantão,comitee, Ricardo Rodrigues Ciferri
339,Mauricio Egidio Cantão,comitee, Duncan Dubugras Alcoba Ruiz
340,Mauricio Egidio Cantão,comitee, Ana Tereza Ribeiro de Vasconcelos
341,Ana Carolina Quirino Simões,na, gerenciamento e análise de dados de microarranjos de DNA para identificação de biomarcadores de diagnóstico e prognóstico de cânceres humanos Planejamento
342,Daniel Yasumasa Takahashi,na,Medidas de fluxo de informação com aplicação em neurociência
343,Tiago José Paschoal Sobreira,na,Análise da via de regulação gênica por ácido retinóico: uma abordagem por bioinformática e biologia estrutural
344,Jorge Estefano Santana de Souza,president, Sandro José de  Souza
345,Jorge Estefano Santana de Souza,comitee, Dirce Maria Carraro
346,Jorge Estefano Santana de Souza,comitee, Diogo Meyer
347,Jorge Estefano Santana de Souza,comitee, Aline Maria da Silva
348,Jorge Estefano Santana de Souza,comitee, Ariane Machado Lima
349,Rafael Carvalho de Oliveira,na,Morfometria computacional de órgãos de frangos de corte submetidos a duas dietas distintas: suplementação mineral quelada versus suplementação mineral tradicional
350,Leonardo Varuzza,president, Carlos Alberto de Bragança  Pereira
351,Leonardo Varuzza,comitee, Heleno Bolfarine
352,Leonardo Varuzza,comitee, Zanoni Diaz
353,Leonardo Varuzza,comitee, Paulo Sérgio Lopes de Oliveira
354,Leonardo Varuzza,comitee, Eloísa Helena Tajara da Silva
355,Ricardo Cesar Corrêa,president, Luciano Vieira de  Araújo
356,Ricardo Cesar Corrêa,comitee, Fátima de Lourdes dos Santos Nunes Marques
357,Ricardo Cesar Corrêa,comitee, Márcio Katsumi Oikawa
358,Ricardo Cesar Corrêa,comitee, Ivan Torres Pisa
359,Marcelo Ris,president, Junior  Barrera
360,Marcelo Ris,comitee, Roberto Marcondes Cesar Junior
361,Marcelo Ris,comitee, Roger Chammas
362,Marcelo Ris,comitee, Alexandre Xavier Falcão
363,Marcelo Ris,comitee, Maria Aparecida Azevedo Koike Folgueira
364,Thiago Motta Venancio,president, Sergio Verjovski de  Almeida
365,Thiago Motta Venancio,comitee, Alan Mitchell Durham
366,Thiago Motta Venancio,comitee, Glória Regina Franco
367,Thiago Motta Venancio,comitee, Arthur Gruber
368,Thiago Motta Venancio,comitee, Georgios Joannis Pappas Junior
